Received	Last location	Reason	Speed (kph)	Mileage (km)	Heading	GPS	Installed	Button	Door	Main power	Light	Temperature	Address	Longitude	Latitude	Altitude (m)	Name	transporter (MMSI)
7/21/2017 10:05	7/21/2017 10:05	Location update (Tracking)	0	0	0	7 / On / Valid	Off	Off	Opened	86% / 4.03v	_	19.0c	"?�berseehafengebiet, Amerikaring (Port Bremerhaven (Bremen, Germany, EU))"	8.5545	53.5817	10	591016	
7/21/2017 18:05	7/21/2017 18:05	Tracking	0	0	0	7 / On / Valid	Off	Off	Opened	82% / 4.01v	_	41.0c	"?�berseehafengebiet, Amerikaring (Port Bremerhaven (Bremen, Germany, EU))"	8.5544	53.5815	_	591016	
7/22/2017 2:05	7/22/2017 2:06	Tracking	0	0	0	6 / On / Valid	Off	Off	Opened	86% / 4.03v	_	24.0c	"?�berseehafengebiet, Amerikaring (Port Bremerhaven (Bremen, Germany, EU))"	8.5544	53.5817	9	591016	
7/22/2017 10:06	7/22/2017 10:06	Tracking	0	0	0	6 / On / Valid	Off	Off	Opened	88% / 4.04v	_	17.0c	"?�berseehafengebiet, Amerikaring (Port Bremerhaven (Bremen, Germany, EU))"	8.5545	53.5816	10	591016	
8/7/2017 18:06	8/7/2017 18:34	Entering Port Brunswick (USA)	0	0	0	5 / On / Valid	Off	Off	Opened	64% / 3.92v	_	28.0c	"GA, Thalmann (Port Brunswick (USA))"	-81.5364	31.1121	_	591016	264162572
8/7/2017 18:34	8/7/2017 18:34	Location update (Tracking)	0	0	0	7 / On / Valid	Off	Off	Opened	62% / 3.91v	_	29.0c	"GA, Thalmann (Port Brunswick (USA))"	-81.5365	31.1121	4	591016	
8/7/2017 20:34	8/7/2017 20:34	Tracking	0	0	0	6 / On / Valid	Off	Off	Opened	58% / 3.89v	_	38.0c	"GA, Thalmann (Port Brunswick (USA))"	-81.5365	31.1121	11	591016	
8/7/2017 22:34	8/7/2017 22:34	Tracking	0	0	0	7 / On / Valid	Off	Off	Opened	58% / 3.89v	_	32.0c	"GA, Thalmann (Port Brunswick (USA))"	-81.5376	31.1124	_	591016	
8/8/2017 0:34	8/8/2017 0:35	Location update (Tracking)	0	0	0	6 / On / Valid	Off	Off	Opened	56% / 3.88v	_	37.0c	"GA, Thalmann (Port Brunswick (USA))"	-81.5375	31.1123	38	591016	
8/8/2017 2:34	8/8/2017 2:34	Tracking	0	0	0	7 / On / Valid	Off	Off	Opened	58% / 3.89v	_	38.0c	"GA, Thalmann (Port Brunswick (USA))"	-81.5375	31.1124	32	591016	
8/8/2017 4:35	8/8/2017 4:34	Tracking	0	0	0	6 / On / Valid	Off	Off	Opened	58% / 3.89v	_	36.0c	"GA, Thalmann (Port Brunswick (USA))"	-81.5376	31.1124	4	591016	
8/8/2017 6:35	8/8/2017 6:35	Tracking	0	0	0	7 / On / Valid	Off	Off	Opened	58% / 3.89v	_	33.0c	"GA, Thalmann (Port Brunswick (USA))"	-81.5377	31.1125	_	591016	
8/8/2017 8:35	8/8/2017 8:35	Tracking	0	0	0	5 / On / Valid	Off	Off	Opened	58% / 3.89v	_	31.0c	"GA, Thalmann (Port Brunswick (USA))"	-81.5377	31.1124	11	591016	
8/8/2017 10:35	8/8/2017 10:35	Location update (Tracking)	0	0	0	7 / On / Valid	Off	Off	Opened	58% / 3.89v	_	30.0c	"GA, Thalmann (Port Brunswick (USA))"	-81.5377	31.1124	22	591016	
8/8/2017 12:35	8/8/2017 12:35	Tracking	0	0	0	7 / On / Valid	Off	Off	Opened	58% / 3.89v	_	28.0c	"GA, Thalmann (Port Brunswick (USA))"	-81.5378	31.1125	_	591016	
8/8/2017 14:35	8/8/2017 14:35	Tracking	0	0	0	7 / On / Valid	Off	Off	Opened	58% / 3.89v	_	27.0c	"GA, Thalmann (Port Brunswick (USA))"	-81.5376	31.1124	20	591016	
8/8/2017 15:27	8/8/2017 15:27	Location update (Weak impact)	0	0	0	7 / On / Valid	Off	Off	Opened	56% / 3.88v	_	28.0c	"GA, Thalmann (Port Brunswick (USA))"	-81.5383	31.1112	23	591016	
8/8/2017 15:27	8/8/2017 15:27	Entering Port Brunswick (USA)	0	0	0	7 / On / Valid	Off	Off	Opened	56% / 3.88v	_	28.0c	"GA, Thalmann (Port Brunswick (USA))"	-81.5383	31.1112	23	591016	
8/8/2017 17:08	8/8/2017 17:08	Tracking	0	0	0	7 / On / Valid	Off	Off	Opened	58% / 3.89v	_	29.0c	"GA, Thalmann (Port Brunswick (USA))"	-81.5384	31.1113	9	591016	
8/8/2017 19:08	8/8/2017 19:08	Tracking	0	0	0	7 / On / Valid	Off	Off	Opened	56% / 3.88v	_	33.0c	"GA, Thalmann (Port Brunswick (USA))"	-81.5389	31.1114	12	591016	
8/8/2017 21:08	8/8/2017 21:08	Logging	0	0	0	4 / On / Valid	Off	Off	Opened	56% / 3.88v	_	41.0c	"GA, Thalmann (Port Brunswick (USA))"	-81.5388	31.1125	16	591016	
8/8/2017 21:08	8/8/2017 21:08	Tracking	0	0	0	7 / On / Valid	Off	Off	Opened	56% / 3.88v	_	41.0c	"GA, Thalmann (Port Brunswick (USA))"	-81.5388	31.1126	24	591016	
8/8/2017 23:08	8/8/2017 23:08	Tracking	0	0	0	7 / On / Valid	Off	Off	Opened	54% / 3.87v	_	48.0c	"GA, Thalmann (Port Brunswick (USA))"	-81.5388	31.1127	24	591016	
8/9/2017 1:09	8/9/2017 1:09	Tracking	0	0	0	7 / On / Valid	Off	Off	Opened	54% / 3.87v	_	45.0c	"GA, Thalmann (Port Brunswick (USA))"	-81.5388	31.1126	23	591016	
8/9/2017 3:09	8/9/2017 3:09	Tracking	0	0	0	7 / On / Valid	Off	Off	Opened	56% / 3.88v	_	39.0c	"GA, Thalmann (Port Brunswick (USA))"	-81.5388	31.1126	15	591016	
8/9/2017 5:09	8/9/2017 5:09	Location update (Tracking)	0	0	0	7 / On / Valid	Off	Off	Opened	48% / 3.84v	_	31.0c	"GA, Thalmann (Port Brunswick (USA))"	-81.5388	31.1126	14	591016	
8/9/2017 7:09	8/9/2017 7:09	Tracking	0	0	0	7 / On / Valid	Off	Off	Opened	56% / 3.88v	_	30.0c	"GA, Thalmann (Port Brunswick (USA))"	-81.5388	31.1126	8	591016	
8/9/2017 9:09	8/9/2017 9:09	Tracking	0	0	0	7 / On / Valid	Off	Off	Opened	56% / 3.88v	_	28.0c	"GA, Thalmann (Port Brunswick (USA))"	-81.5389	31.1125	28	591016	
8/9/2017 11:09	8/9/2017 11:09	Tracking	0	0	0	7 / On / Valid	Off	Off	Opened	58% / 3.89v	_	27.0c	"GA, Thalmann (Port Brunswick (USA))"	-81.5388	31.1126	_	591016	
8/9/2017 13:10	8/9/2017 13:09	Tracking	0	0	0	7 / On / Valid	Off	Off	Opened	58% / 3.89v	_	26.0c	"GA, Thalmann (Port Brunswick (USA))"	-81.5388	31.1126	16	591016	
8/9/2017 15:10	8/9/2017 15:10	Tracking	0	0	0	7 / On / Valid	Off	Off	Opened	58% / 3.89v	_	26.0c	"GA, Thalmann (Port Brunswick (USA))"	-81.5388	31.1126	6	591016	
8/9/2017 17:10	8/9/2017 17:10	Tracking	0	0	0	7 / On / Valid	Off	Off	Opened	56% / 3.88v	_	27.0c	"GA, Thalmann (Port Brunswick (USA))"	-81.5388	31.1126	_	591016	
8/9/2017 19:10	8/9/2017 19:10	Tracking	0	0	0	7 / On / Valid	Off	Off	Opened	56% / 3.88v	_	30.0c	"GA, Thalmann (Port Brunswick (USA))"	-81.5388	31.1126	_	591016	
8/9/2017 21:10	8/9/2017 21:10	Location update (Tracking)	0	0	0	7 / On / Valid	Off	Off	Opened	54% / 3.87v	_	35.0c	"GA, Thalmann (Port Brunswick (USA))"	-81.5388	31.1126	9	591016	
8/9/2017 23:10	8/9/2017 23:10	Tracking	0	0	0	7 / On / Valid	Off	Off	Opened	54% / 3.87v	_	40.0c	"GA, Thalmann (Port Brunswick (USA))"	-81.5388	31.1126	_	591016	
8/10/2017 1:10	8/10/2017 1:10	Tracking	0	0	0	7 / On / Valid	Off	Off	Opened	54% / 3.87v	_	40.0c	"GA, Thalmann (Port Brunswick (USA))"	-81.5388	31.1126	25	591016	
8/10/2017 3:11	8/10/2017 3:11	Tracking	0	0	0	7 / On / Valid	Off	Off	Opened	56% / 3.88v	_	35.0c	"GA, Thalmann (Port Brunswick (USA))"	-81.5387	31.1126	14	591016	
8/10/2017 5:11	8/10/2017 5:11	Tracking	0	0	0	7 / On / Valid	Off	Off	Opened	56% / 3.88v	_	31.0c	"GA, Thalmann (Port Brunswick (USA))"	-81.5388	31.1126	1	591016	
8/10/2017 7:11	8/10/2017 7:11	Tracking	0	0	0	7 / On / Valid	Off	Off	Opened	56% / 3.88v	_	28.0c	"GA, Thalmann (Port Brunswick (USA))"	-81.5389	31.1126	7	591016	
8/10/2017 9:11	8/10/2017 9:11	Location update (Tracking)	0	0	0	7 / On / Valid	Off	Off	Opened	54% / 3.87v	_	27.0c	"GA, Thalmann (Port Brunswick (USA))"	-81.5388	31.1126	15	591016	
8/10/2017 11:11	8/10/2017 11:11	Tracking	0	0	0	7 / On / Valid	Off	Off	Opened	56% / 3.88v	_	26.0c	"GA, Thalmann (Port Brunswick (USA))"	-81.5388	31.1126	3	591016	
8/10/2017 13:11	8/10/2017 13:11	Tracking	0	0	0	7 / On / Valid	Off	Off	Opened	56% / 3.88v	_	25.0c	"GA, Thalmann (Port Brunswick (USA))"	-81.5387	31.1126	6	591016	
8/10/2017 15:12	8/10/2017 15:12	Tracking	0	0	0	5 / On / Valid	Off	Off	Opened	56% / 3.88v	_	25.0c	"GA, Thalmann (Port Brunswick (USA))"	-81.5387	31.1126	3	591016	
8/10/2017 17:12	8/10/2017 17:12	Tracking	0	0	0	7 / On / Valid	Off	Off	Opened	56% / 3.88v	_	27.0c	"GA, Thalmann (Port Brunswick (USA))"	-81.5388	31.1125	_	591016	
8/10/2017 19:12	8/10/2017 19:12	Tracking	0	0	0	7 / On / Valid	Off	Off	Opened	54% / 3.87v	_	34.0c	"GA, Thalmann (Port Brunswick (USA))"	-81.5388	31.1126	23	591016	
8/10/2017 21:12	8/10/2017 21:12	Tracking	0	0	0	7 / On / Valid	Off	Off	Opened	54% / 3.87v	_	43.0c	"GA, Thalmann (Port Brunswick (USA))"	-81.5388	31.1126	17	591016	
8/10/2017 23:12	8/10/2017 23:12	Tracking	0	0	0	7 / On / Valid	Off	Off	Opened	52% / 3.86v	_	49.0c	"GA, Thalmann (Port Brunswick (USA))"	-81.5388	31.1126	_	591016	
8/11/2017 1:12	8/11/2017 1:12	Tracking	0	0	0	7 / On / Valid	Off	Off	Opened	52% / 3.86v	_	49.0c	"GA, Thalmann (Port Brunswick (USA))"	-81.5388	31.1127	_	591016	
8/11/2017 3:12	8/11/2017 3:12	Tracking	0	0	0	7 / On / Valid	Off	Off	Opened	52% / 3.86v	_	44.0c	"GA, Thalmann (Port Brunswick (USA))"	-81.5387	31.1126	14	591016	
8/11/2017 5:12	8/11/2017 5:12	Logging	0	0	0	5 / On / Valid	Off	Off	Opened	54% / 3.87v	_	38.0c	"GA, Thalmann (Port Brunswick (USA))"	-81.5387	31.1126	22	591016	
8/11/2017 5:13	8/11/2017 5:12	Tracking	0	0	0	7 / On / Valid	Off	Off	Opened	54% / 3.87v	_	38.0c	"GA, Thalmann (Port Brunswick (USA))"	-81.5388	31.1126	19	591016	
8/11/2017 7:13	8/11/2017 7:13	Tracking	0	0	0	7 / On / Valid	Off	Off	Opened	54% / 3.87v	_	33.0c	"GA, Thalmann (Port Brunswick (USA))"	-81.5387	31.1127	22	591016	
